,Unnamed: 0,Flight.No,Airline,Flight.Type,Scheduled.Departure,Departure,Scheduled.Arrival,Arrival,Flight.Status,Justification,Airport.From,Airport.To,Longitude.To,Latitude.To,Longitude.From,Latitude.From,Departure.Delay,Arrival.Delay,Distance.In.Meters,Flight.No2,AirLine.Code,Departure_Date
48389,176513,AZU - 2400,AZUL,Domestic,2016-03-15 08:25:00,2016-03-15 08:25:00,2016-03-15 09:32:00,2016-03-15 09:18:00,Confirmed,ANTECIPATION,SBGR,SBRJ,-43.1648755,-22.9111438,-46.478126,-23.4345529,0.0,-14.0,344156.300783255,2400,AZU,2016-03-15 08:25:00
48407,176531,AZU - 2401,AZUL,Regional,2016-03-15 06:23:00,,2016-03-15 07:40:00,,Cancelled,AUTHORIZED (O),SBRJ,SBGR,-46.478126,-23.4345529,-43.1648755,-22.9111438,,,344156.300783255,2401,AZU,2016-03-15 06:23:00
48426,176550,AZU - 2402,AZUL,Regional,2016-03-15 10:25:00,,2016-03-15 11:52:00,,Cancelled,AUTHORIZED (O),SBGR,SBRJ,-43.1648755,-22.9111438,-46.478126,-23.4345529,,,344156.300783255,2402,AZU,2016-03-15 10:25:00
48448,176572,AZU - 2403,AZUL,Domestic,2016-03-15 08:25:00,2016-03-15 08:19:00,2016-03-15 09:35:00,2016-03-15 09:23:00,Confirmed,ANTECIPATION,SBRJ,SBGR,-46.478126,-23.4345529,-43.1648755,-22.9111438,-6.0,-12.0,344156.300783255,2403,AZU,2016-03-15 08:25:00
48460,176584,AZU - 2403,AZUL,Domestic,2016-03-15 08:25:00,2016-03-20 08:19:00,2016-03-15 09:35:00,2016-03-20 09:29:00,Confirmed,ANTECIPATION,SBRJ,SBGR,-46.478126,-23.4345529,-43.1648755,-22.9111438,7194.0,7194.0,344156.300783255,2403,AZU,2016-03-15 08:25:00
48481,176605,AZU - 2404,AZUL,Domestic,2016-03-15 15:10:00,2016-03-15 14:57:00,2016-03-15 16:13:00,2016-03-15 15:59:00,Confirmed,ANTECIPATION,SBGR,SBRJ,-43.1648755,-22.9111438,-46.478126,-23.4345529,-13.0,-14.0,344156.300783255,2404,AZU,2016-03-15 15:10:00
48493,176617,AZU - 2405,AZUL,Regional,2016-03-15 13:05:00,,2016-03-15 14:20:00,,Cancelled,AUTHORIZED (O),SBRJ,SBGR,-46.478126,-23.4345529,-43.1648755,-22.9111438,,,344156.300783255,2405,AZU,2016-03-15 13:05:00
48524,176648,AZU - 2406,AZUL,Domestic,2016-03-15 19:25:00,2016-03-20 19:15:00,2016-03-15 20:33:00,2016-03-20 20:11:00,Confirmed,ANTECIPATION,SBGR,SBRJ,-43.1648755,-22.9111438,-46.478126,-23.4345529,7190.0,7178.0,344156.300783255,2406,AZU,2016-03-15 19:25:00
48535,176659,AZU - 2406,AZUL,Domestic,2016-03-15 19:25:00,2016-03-15 19:16:00,2016-03-15 20:33:00,2016-03-15 20:11:00,Confirmed,ANTECIPATION,SBGR,SBRJ,-43.1648755,-22.9111438,-46.478126,-23.4345529,-9.0,-22.0,344156.300783255,2406,AZU,2016-03-15 19:25:00
48550,176674,AZU - 2407,AZUL,Regional,2016-03-15 17:36:00,2016-03-15 17:36:00,2016-03-15 18:35:00,2016-03-15 18:35:00,Confirmed,,SBRJ,SBGR,-46.478126,-23.4345529,-43.1648755,-22.9111438,0.0,0.0,344156.300783255,2407,AZU,2016-03-15 17:36:00
48568,176692,AZU - 2408,AZUL,Domestic,2016-03-15 17:15:00,2016-03-15 17:01:00,2016-03-15 18:22:00,2016-03-15 18:06:00,Confirmed,ANTECIPATION,SBVT,SBRJ,-43.1648755,-22.9111438,-40.2835346,-20.2576489,-14.0,-16.0,418730.58349907,2408,AZU,2016-03-15 17:15:00
48588,176712,AZU - 2408,AZUL,Domestic,2016-03-15 17:15:00,2016-03-20 17:08:00,2016-03-15 18:22:00,2016-03-20 18:07:00,Confirmed,ANTECIPATION,SBVT,SBRJ,-43.1648755,-22.9111438,-40.2835346,-20.2576489,7193.0,7185.0,418730.58349907,2408,AZU,2016-03-15 17:15:00
48607,176731,AZU - 2409,AZUL,Domestic,2016-03-15 11:24:00,2016-03-15 11:18:00,2016-03-15 12:35:00,2016-03-15 12:21:00,Confirmed,ANTECIPATION,SBRJ,SBVT,-40.2835346,-20.2576489,-43.1648755,-22.9111438,-6.0,-14.0,418730.58349907,2409,AZU,2016-03-15 11:24:00
